rl-secondary-1  | 2025-12-07 20:39:52,605 | INFO | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
rl-secondary-1  |  * Running on all addresses (0.0.0.0)
rl-secondary-1  |  * Running on http://127.0.0.1:8001
rl-secondary-1  |  * Running on http://172.18.0.2:8001
rl-secondary-1  |  * Serving Flask app 'app'
rl-secondary-1  |  * Debug mode: off
rl-secondary-1  | 2025-12-07 20:39:52,605 | INFO | [33mPress CTRL+C to quit[0m
rl-secondary-1  | 2025-12-07 20:39:58,003 | INFO | 192.168.65.1 - - [07/Dec/2025 20:39:58] "GET /health HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:39:58,357 | INFO | 192.168.65.1 - - [07/Dec/2025 20:39:58] "GET /health HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:39:58,384 | INFO | Replicated seq=1 msg=smoke (pos=0)
rl-secondary-1  | 2025-12-07 20:39:58,384 | INFO | 172.18.0.4 - - [07/Dec/2025 20:39:58] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:39:59,931 | INFO | 192.168.65.1 - - [07/Dec/2025 20:39:59] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:00,459 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:00] "GET /health HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:00,467 | INFO | Replicated seq=2 msg=pytest (pos=1)
rl-secondary-1  | 2025-12-07 20:40:00,467 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:00] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:01,979 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:01] "GET /health HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:01,987 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:01] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:02,476 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:02] "GET /health HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:02,484 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:02] "GET /health HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:02,525 | INFO | Replicated seq=3 msg=test message 1 (pos=2)
rl-secondary-1  | 2025-12-07 20:40:02,525 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:02] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:04,071 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:04] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:04,097 | INFO | Replicated seq=4 msg=blocking test (pos=3)
rl-secondary-1  | 2025-12-07 20:40:04,097 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:04] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:05,626 | INFO | Replicated seq=5 msg=message 2 (pos=4)
rl-secondary-1  | 2025-12-07 20:40:05,627 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:05] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:07,454 | INFO | Replicated seq=6 msg=message 3 (pos=5)
rl-secondary-1  | 2025-12-07 20:40:07,455 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:07] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:09,294 | INFO | Replicated seq=7 msg=message 4 (pos=6)
rl-secondary-1  | 2025-12-07 20:40:09,295 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:09] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:11,131 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:11] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:11,158 | INFO | Replicated seq=8 msg=delay test (pos=7)
rl-secondary-1  | 2025-12-07 20:40:11,158 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:11] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:12,894 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:12] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:13,296 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:13] "GET /health HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:13,329 | INFO | Replicated seq=9 msg=smoke (pos=8)
rl-secondary-1  | 2025-12-07 20:40:13,329 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:13] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:14,882 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:14] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:15,075 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:15] "GET /health HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:15,085 | INFO | Replicated seq=10 msg=pytest (pos=9)
rl-secondary-1  | 2025-12-07 20:40:15,085 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:15] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:16,600 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:16] "GET /health HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:16,613 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:16] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:16,765 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:16] "GET /health HTTP/1.1" 200 -
