rl-master  | 2025-12-07 23:16:23,583 | INFO | Heartbeat: http://secondary1:8001 initialized as healthy
rl-master  | 2025-12-07 23:16:23,583 | INFO | Heartbeat: http://secondary2:8001 initialized as healthy
rl-master  | 2025-12-07 23:16:23,583 | INFO | Heartbeat worker started (interval=2.0s)
rl-master  | 2025-12-07 23:16:23,584 | INFO | Started replication worker for http://secondary1:8001
rl-master  | 2025-12-07 23:16:23,584 | INFO | Started replication worker for http://secondary2:8001
rl-master  |  * Serving Flask app 'app'
rl-master  |  * Debug mode: off
rl-master  | 2025-12-07 23:16:23,585 | INFO | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
rl-master  |  * Running on all addresses (0.0.0.0)
rl-master  |  * Running on http://127.0.0.1:8000
rl-master  |  * Running on http://172.18.0.4:8000
rl-master  | 2025-12-07 23:16:23,585 | INFO | [33mPress CTRL+C to quit[0m
rl-master  | 2025-12-07 23:16:28,533 | INFO | 127.0.0.1 - - [07/Dec/2025 23:16:28] "GET /health HTTP/1.1" 200 -
rl-master  | 2025-12-07 23:16:30,504 | INFO | Appended locally seq=1 msg=Msg1 w=1
rl-master  | 2025-12-07 23:16:30,504 | INFO | POST /messages completed w=1, acks=0 in 0 ms
rl-master  | 2025-12-07 23:16:30,505 | INFO | 192.168.65.1 - - [07/Dec/2025 23:16:30] "[35m[1mPOST /messages HTTP/1.1[0m" 201 -
rl-master  | 2025-12-07 23:16:30,537 | INFO | Replication attempt 1 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:30,543 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:30,552 | INFO | Replication attempt 1 to http://secondary1:8001 for seq=1
rl-master  | 2025-12-07 23:16:30,746 | INFO | Replication attempt 2 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:30,753 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:30,959 | INFO | Replication attempt 3 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:30,969 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:31,175 | INFO | Replication attempt 4 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:31,185 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:31,386 | INFO | Replication attempt 5 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:31,397 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:31,601 | INFO | Replication attempt 6 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:31,608 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:31,642 | WARNING | Heartbeat failed for http://secondary2:8001 (2 failures): healthy -> suspected
rl-master  | 2025-12-07 23:16:31,809 | INFO | Replication attempt 7 to http://secondary2:8001 for seq=1
